model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L12_model_09,12,4,1726,1726,L12/L12_model_09/z_checks.csv,L12/L12_model_09/x_checks.csv,1728,1728
L12_model_10,12,4,1726,1726,L12/L12_model_10/z_checks.csv,L12/L12_model_10/x_checks.csv,1728,1728
L12_model_11,12,4,1726,1726,L12/L12_model_11/z_checks.csv,L12/L12_model_11/x_checks.csv,1728,1728
L12_model_12,12,4,1726,1726,L12/L12_model_12/z_checks.csv,L12/L12_model_12/x_checks.csv,1728,1728
L12_model_13,12,4,1726,1726,L12/L12_model_13/z_checks.csv,L12/L12_model_13/x_checks.csv,1728,1728
L12_model_14,12,4,1726,1726,L12/L12_model_14/z_checks.csv,L12/L12_model_14/x_checks.csv,1728,1728
L12_model_15,12,4,1726,1726,L12/L12_model_15/z_checks.csv,L12/L12_model_15/x_checks.csv,1728,1728
L12_model_16,12,4,1726,1726,L12/L12_model_16/z_checks.csv,L12/L12_model_16/x_checks.csv,1728,1728
L12_model_17,12,4,1726,1726,L12/L12_model_17/z_checks.csv,L12/L12_model_17/x_checks.csv,1728,1728
L12_model_18,12,4,1726,1726,L12/L12_model_18/z_checks.csv,L12/L12_model_18/x_checks.csv,1728,1728
L12_model_19,12,4,1726,1726,L12/L12_model_19/z_checks.csv,L12/L12_model_19/x_checks.csv,1728,1728
L12_model_20,12,4,1726,1726,L12/L12_model_20/z_checks.csv,L12/L12_model_20/x_checks.csv,1728,1728
L12_model_21,12,4,1726,1726,L12/L12_model_21/z_checks.csv,L12/L12_model_21/x_checks.csv,1728,1728
L12_model_22,12,4,1726,1726,L12/L12_model_22/z_checks.csv,L12/L12_model_22/x_checks.csv,1728,1728
L12_model_23,12,4,1726,1726,L12/L12_model_23/z_checks.csv,L12/L12_model_23/x_checks.csv,1728,1728
L12_model_24,12,4,1726,1726,L12/L12_model_24/z_checks.csv,L12/L12_model_24/x_checks.csv,1728,1728
L12_model_25,12,4,1726,1726,L12/L12_model_25/z_checks.csv,L12/L12_model_25/x_checks.csv,1728,1728
L12_model_26,12,4,1726,1726,L12/L12_model_26/z_checks.csv,L12/L12_model_26/x_checks.csv,1728,1728
L12_model_27,12,4,1726,1726,L12/L12_model_27/z_checks.csv,L12/L12_model_27/x_checks.csv,1728,1728
L12_model_28,12,4,1726,1726,L12/L12_model_28/z_checks.csv,L12/L12_model_28/x_checks.csv,1728,1728
L12_model_29,12,4,1726,1726,L12/L12_model_29/z_checks.csv,L12/L12_model_29/x_checks.csv,1728,1728
L12_model_30,12,4,1726,1726,L12/L12_model_30/z_checks.csv,L12/L12_model_30/x_checks.csv,1728,1728
L12_model_31,12,4,1726,1726,L12/L12_model_31/z_checks.csv,L12/L12_model_31/x_checks.csv,1728,1728
L12_model_32,12,4,1726,1726,L12/L12_model_32/z_checks.csv,L12/L12_model_32/x_checks.csv,1728,1728
L12_model_33,12,4,1726,1726,L12/L12_model_33/z_checks.csv,L12/L12_model_33/x_checks.csv,1728,1728
L12_model_34,12,4,1726,1726,L12/L12_model_34/z_checks.csv,L12/L12_model_34/x_checks.csv,1728,1728
L12_model_35,12,4,1726,1726,L12/L12_model_35/z_checks.csv,L12/L12_model_35/x_checks.csv,1728,1728
L12_model_36,12,4,1726,1726,L12/L12_model_36/z_checks.csv,L12/L12_model_36/x_checks.csv,1728,1728
L12_model_37,12,4,1726,1726,L12/L12_model_37/z_checks.csv,L12/L12_model_37/x_checks.csv,1728,1728
L12_model_38,12,4,1726,1726,L12/L12_model_38/z_checks.csv,L12/L12_model_38/x_checks.csv,1728,1728
L12_model_39,12,4,1726,1726,L12/L12_model_39/z_checks.csv,L12/L12_model_39/x_checks.csv,1728,1728
L12_model_40,12,4,1726,1726,L12/L12_model_40/z_checks.csv,L12/L12_model_40/x_checks.csv,1728,1728
L12_model_41,12,4,1726,1726,L12/L12_model_41/z_checks.csv,L12/L12_model_41/x_checks.csv,1728,1728
L12_model_42,12,4,1726,1726,L12/L12_model_42/z_checks.csv,L12/L12_model_42/x_checks.csv,1728,1728
L12_model_43,12,4,1726,1726,L12/L12_model_43/z_checks.csv,L12/L12_model_43/x_checks.csv,1728,1728
L12_model_44,12,4,1726,1726,L12/L12_model_44/z_checks.csv,L12/L12_model_44/x_checks.csv,1728,1728
L12_model_45,12,4,1726,1726,L12/L12_model_45/z_checks.csv,L12/L12_model_45/x_checks.csv,1728,1728
L12_model_46,12,4,1726,1726,L12/L12_model_46/z_checks.csv,L12/L12_model_46/x_checks.csv,1728,1728
L12_model_47,12,4,1726,1726,L12/L12_model_47/z_checks.csv,L12/L12_model_47/x_checks.csv,1728,1728
L12_model_48,12,4,1726,1726,L12/L12_model_48/z_checks.csv,L12/L12_model_48/x_checks.csv,1728,1728
L12_model_49,12,4,1726,1726,L12/L12_model_49/z_checks.csv,L12/L12_model_49/x_checks.csv,1728,1728
L12_model_50,12,4,1726,1726,L12/L12_model_50/z_checks.csv,L12/L12_model_50/x_checks.csv,1728,1728
